latitude,longitude,start_date,end_date,duration,intensity_max,intensity_mean,intensity_cumulative
54.875,-165.875,2018-09-06,2018-11-27,83,1.931690913095036,1.30658086153165,108.44621150712696
54.875,-165.625,2017-06-01,2017-06-26,26,2.013833627253333,1.427858001103535,37.12430802869191
54.875,-165.625,2018-02-04,2018-02-26,23,1.2605237757355594,1.044462250372775,24.022631758573823
54.875,-165.625,2018-03-12,2018-03-21,10,1.4215781974885702,1.1828856988223535,11.828856988223537
54.875,-165.625,2018-04-18,2018-05-02,15,1.3504212497339338,1.1788634169127936,17.682951253691904
54.875,-165.625,2018-06-09,2018-06-15,7,1.884780056478924,1.4913540205664515,10.43947814396516
54.875,-165.625,2018-09-10,2018-11-27,79,1.8769110405083875,1.29322303382612,102.16461967226348
54.875,-165.375,2017-06-02,2017-06-14,13,1.937126184115777,1.4614405507207393,18.99872715936961
54.875,-165.375,2017-06-22,2017-06-26,5,1.85871526111256,1.620625102499014,8.10312551249507
54.875,-165.375,2018-02-04,2018-02-23,20,1.242905685576526,1.0577378203576375,21.15475640715276
54.875,-165.375,2018-03-12,2018-03-21,10,1.5222330975043112,1.2711696190970387,12.711696190970388
54.875,-165.375,2018-04-18,2018-05-02,15,1.5315582302541908,1.2707384461088729,19.06107669163309
54.875,-165.375,2018-06-08,2018-06-15,8,2.0561863125244537,1.5579177390911472,12.463341912729176
54.875,-165.375,2018-09-16,2018-11-27,73,1.9316907646369372,1.3050199963532825,95.26645973378962
54.875,-165.125,2017-06-02,2017-06-14,13,1.8538513328789028,1.3810608969621083,17.95379166050741
54.875,-165.125,2017-06-22,2017-06-26,5,1.8732980584585537,1.6151278088822274,8.075639044411137
54.875,-165.125,2017-07-20,2017-07-24,5,2.234489437515318,1.8637440465086248,9.318720232543123
54.875,-165.125,2017-11-16,2017-11-20,5,1.122104824742964,0.983603987661159,4.918019938305795
54.875,-165.125,2018-02-17,2018-02-22,6,1.2963006192696298,1.1323520255277202,6.794112153166321
54.875,-165.125,2018-03-12,2018-03-29,18,1.5183837101839393,1.183688922821294,21.306400610783296
54.875,-165.125,2018-04-18,2018-05-07,20,1.6456442029544047,1.295761118380505,25.91522236761009
54.875,-165.125,2018-06-06,2018-06-15,10,2.118703346075317,1.511214138321863,15.112141383218626
54.875,-165.125,2018-07-01,2018-07-06,6,1.8381274195826756,1.4308265801826252,8.584959481095751
54.875,-165.125,2018-09-16,2018-11-27,73,1.9170643262499585,1.307409724311378,95.4409098747306
54.875,-164.875,2017-06-04,2017-06-14,11,1.7685642141983535,1.344309137974126,14.787400517715389
54.875,-164.875,2017-06-22,2017-06-26,5,1.630826077106993,1.4321081204987678,7.160540602493839
54.875,-164.875,2017-07-20,2017-07-25,6,2.3057311933877305,1.87713714031258,11.26282284187548
54.875,-164.875,2017-11-14,2017-11-20,7,1.1558835241218937,1.0194403686930964,7.136082580851675
54.875,-164.875,2018-02-11,2018-02-22,12,1.3965239680932062,1.1913845646154149,14.296614775384976
54.875,-164.875,2018-03-01,2018-03-07,7,1.4784094086956534,1.197386134010406,8.381702938072841
54.875,-164.875,2018-03-12,2018-04-01,21,1.547174096066697,1.2458601760021086,26.163063696044283
54.875,-164.875,2018-04-18,2018-05-07,20,1.7153763636309405,1.3359503398988417,26.719006797976835
54.875,-164.875,2018-05-19,2018-05-25,7,1.3912737627591092,1.2736976332270622,8.915883432589435
54.875,-164.875,2018-06-06,2018-06-15,10,2.058336781779574,1.520046731833722,15.200467318337218
54.875,-164.875,2018-07-01,2018-07-07,7,1.9361106162896256,1.5633017584492153,10.943112309144508
54.875,-164.875,2018-09-16,2018-11-30,76,1.8352251739912149,1.2896372679643031,98.01243236528704
55.125,-167.375,2017-01-31,2017-02-11,12,1.2950966200637457,0.905863398321292,10.870360779855504
55.125,-167.375,2017-05-17,2017-05-21,5,1.3388984493030025,1.194669656979607,5.973348284898035
55.125,-167.375,2017-06-10,2017-06-22,13,2.231100908216028,1.7713378736691174,23.027392357698528
55.125,-167.375,2017-07-12,2017-07-16,5,1.7699918798221042,1.6472433146889718,8.236216573444858
55.125,-167.375,2017-08-11,2017-08-23,13,1.870242834464081,1.6470927520859238,21.41220577711701
55.125,-167.375,2017-10-11,2017-10-21,11,1.053474770310105,0.8836504313359526,9.720154744695478
55.125,-167.375,2017-11-05,2017-11-20,16,1.06316537425898,0.9280460570186,14.8487369122976
55.125,-167.375,2017-11-25,2017-12-01,7,1.1889697403968382,0.8816612893685075,6.171629025579553
55.125,-167.375,2018-02-05,2018-02-26,22,1.287932359508055,1.047758809094068,23.05069380006949
55.125,-167.375,2018-03-03,2018-03-11,9,1.2769675532568945,1.152517766010313,10.372659894092816
55.125,-167.375,2018-03-15,2018-03-29,15,1.3554474951817728,1.1799012357689886,17.69851853653483
55.125,-167.375,2018-09-04,2018-11-13,71,1.924560014197088,1.4287207629281375,101.43917416789776
55.125,-167.375,2018-11-17,2018-11-27,11,1.321790891844974,1.1367390125070933,12.504129137578026
55.125,-167.125,2017-01-31,2017-02-11,12,1.303325382518862,0.9112873639276574,10.935448367131889
55.125,-167.125,2017-05-17,2017-05-21,5,1.3637224469716251,1.2531891401480602,6.265945700740301
55.125,-167.125,2017-06-09,2017-06-23,15,2.2215451845558745,1.7693078263973567,26.539617395960352
55.125,-167.125,2017-08-11,2017-08-23,13,1.7884510863911045,1.619810427320714,21.05753555516928
55.125,-167.125,2017-10-11,2017-10-21,11,1.084755845316927,0.8869952834871817,9.756948118359
55.125,-167.125,2017-11-05,2017-11-20,16,0.990321767551575,0.8485763893216012,13.57722222914562
55.125,-167.125,2018-02-05,2018-02-26,22,1.3266867063611842,1.1104428890884313,24.42974355994549
55.125,-167.125,2018-03-02,2018-03-11,10,1.238815888596421,1.156137213751252,11.56137213751252
55.125,-167.125,2018-03-15,2018-03-29,15,1.327581734881024,1.179521043146034,17.692815647190507
55.125,-167.125,2018-04-19,2018-04-24,6,1.2024242567468364,1.0918625039730372,6.551175023838223
55.125,-167.125,2018-09-04,2018-11-08,66,2.0022680270007616,1.4340314424957108,94.64607520471692
55.125,-167.125,2018-11-17,2018-11-27,11,1.2883578039217785,1.1478656411478172,12.62652205262599
55.125,-166.875,2017-05-16,2017-05-21,6,1.4130733485795195,1.2748979579891595,7.649387747934958
55.125,-166.875,2017-06-04,2017-06-24,21,2.228349914368996,1.7665116986798683,37.09674567227724
55.125,-166.875,2017-08-12,2017-08-23,12,1.6616090971237298,1.54880042044648,18.58560504535776
55.125,-166.875,2017-10-11,2017-10-20,10,1.1001660870899803,0.8971510042403115,8.971510042403114
55.125,-166.875,2017-11-05,2017-11-10,6,0.7970273477008032,0.7528525180714106,4.517115108428464
55.125,-166.875,2017-11-15,2017-11-20,6,0.9278299561926584,0.8785398272902457,5.2712389637414745
55.125,-166.875,2018-02-05,2018-02-26,22,1.3136547402319438,1.1076374491623888,24.368023881572555
55.125,-166.875,2018-03-02,2018-03-08,7,1.2636782572503664,1.118337018227897,7.828359127595279
55.125,-166.875,2018-03-15,2018-03-29,15,1.2890527433518204,1.1671121906022288,17.506682859033432
55.125,-166.875,2018-04-18,2018-04-24,7,1.198388877776129,1.0852653104330705,7.596857173031494
55.125,-166.875,2018-04-28,2018-05-03,6,1.1821768503676182,1.0610049149740712,6.366029489844427
55.125,-166.875,2018-08-04,2018-08-09,6,2.0732897174906064,1.7473746295315558,10.484247777189337
55.125,-166.875,2018-09-04,2018-11-27,85,2.220944939610547,1.3227357174609753,112.4325359841829
55.125,-166.625,2017-01-31,2017-02-06,7,1.3286902627637316,1.000495148693911,7.003466040857378
55.125,-166.625,2017-05-16,2017-05-21,6,1.4626869618076972,1.2712114371123864,7.627268622674318
55.125,-166.625,2017-06-04,2017-06-24,21,2.4729972242493314,1.8357220009319584,38.55016201957113
