simulation,n_disasters,total_appropriation,mean_appropriation
96,3,49701061.28105339,16567020.427017795
97,1,61080480.901956715,61080480.901956715
98,3,88725317.27531715,29575105.75843905
99,4,711228870.4753351,177807217.61883378
100,8,504473537.6203952,63059192.2025494
101,2,22414752.652412247,11207376.326206123
102,1,10746903.602531541,10746903.602531541
103,4,16754190.504829789,4188547.626207447
104,2,30779325.227972217,15389662.613986108
105,2,101680264.68193862,50840132.34096931
106,2,522919509.1179841,261459754.55899206
107,3,113682233.76599097,37894077.92199699
108,5,104504354.77854715,20900870.95570943
109,1,3064748.861367893,3064748.861367893
110,4,176623135.1143049,44155783.778576225
111,3,18610515.553732198,6203505.184577399
112,2,6659264.463856623,3329632.2319283113
113,3,45424533.974246606,15141511.324748868
114,1,1263469.6222254569,1263469.6222254569
115,2,30927206.50759974,15463603.25379987
116,1,3081022.1838153,3081022.1838153
117,5,61065861.38144511,12213172.276289022
118,2,5451306.023777788,2725653.011888894
119,4,117145129.65023151,29286282.412557878
120,3,91059607.28345153,30353202.427817177
121,2,10696542.80278351,5348271.401391755
122,4,341387185.7721014,85346796.44302535
123,2,105164094.77239469,52582047.38619734
124,2,21259832.269319035,10629916.134659518
125,5,19929273.708112486,3985854.7416224973
126,1,752675.0429996126,752675.0429996126
127,6,352474079.89621174,58745679.98270196
128,6,450454511.3413334,75075751.89022224
129,2,56617314.827907965,28308657.413953982
130,2,62452400.89445928,31226200.44722964
131,5,149784196.65930006,29956839.331860013
132,6,153912969.07816792,25652161.513027985
133,2,8163330.742266156,4081665.371133078
134,4,100123804.22216043,25030951.055540107
135,7,283159913.98141915,40451416.28305988
136,5,288908965.27967393,57781793.05593479
137,6,86037589.92791955,14339598.321319925
138,2,30199730.22734782,15099865.11367391
139,1,2258071.0798144774,2258071.0798144774
140,4,72478401.5486751,18119600.387168776
141,2,16568154.382199649,8284077.191099824
142,2,284723112.58154863,142361556.29077432
143,2,8365540.20692582,4182770.10346291
144,3,39869807.737744205,13289935.912581401
145,5,106017852.94396937,21203570.588793874
146,1,16651630.137320073,16651630.137320073
147,2,9188991.137474414,4594495.568737207
148,1,5083379.411051024,5083379.411051024
149,3,63191184.515775144,21063728.17192505
150,5,563821405.2871683,112764281.05743365
151,2,700737561.4298797,350368780.71493983
152,4,161185912.11149073,40296478.02787268
153,3,60746035.42289862,20248678.47429954
154,1,30979831.402507007,30979831.402507007
155,4,121758287.80072013,30439571.95018003
156,3,39839475.480305776,13279825.160101926
157,2,25411857.76715614,12705928.88357807
158,6,299480827.8548961,49913471.309149355
159,4,184382143.91425976,46095535.97856494
160,7,228625319.25129867,32660759.893042665
161,1,1313900.730999339,1313900.730999339
162,2,64794791.54672189,32397395.773360945
163,1,3364599.608495293,3364599.608495293
164,2,186138507.07125008,93069253.53562504
165,6,76955305.72599506,12825884.287665844
166,3,95131065.14791499,31710355.049304996
167,5,58775676.7584463,11755135.35168926
168,3,123006035.95064066,41002011.98354689
169,4,34456720.52278425,8614180.130696062
170,5,2993585009.516121,598717001.9032242
171,4,235083726.76501194,58770931.691252984
172,2,10301013.884491257,5150506.942245629
173,1,15997382.009142272,15997382.009142272
174,1,75289043.79961592,75289043.79961592
175,2,46700614.71849388,23350307.35924694
176,3,85809525.69759211,28603175.232530702
177,2,17368919.662668116,8684459.831334058
178,3,344421092.321828,114807030.77394266
179,4,39283816.26186397,9820954.065465992
180,3,66690905.253525436,22230301.751175147
181,3,32058315.35600943,10686105.11866981
182,2,11763134.504482254,5881567.252241127
183,2,391186031.01239747,195593015.50619873
184,2,46082522.05988552,23041261.02994276
185,1,4760161.564311744,4760161.564311744
186,5,428029667.4514208,85605933.49028416
187,2,106212150.37115638,53106075.18557819
188,4,57714063.42161864,14428515.85540466
189,5,302936608.2679556,60587321.65359112
190,4,2275299539.042226,568824884.7605565
191,2,40428006.780296154,20214003.390148077
192,1,4494662.199414454,4494662.199414454
193,2,171702349.9213659,85851174.96068294
194,3,40607596.88250376,13535865.627501255
195,2,188747002.49776956,94373501.24888478
196,3,86816783.90887235,28938927.969624117
197,2,41547162.31808733,20773581.159043666
198,1,35722383.32430177,35722383.32430177
199,1,1007634651.3141897,1007634651.3141897
200,2,20940384.734933287,10470192.367466643
201,3,31716952.186596952,10572317.395532317
202,1,8263656.837905792,8263656.837905792
203,3,16081384.903276725,5360461.634425575
204,5,106510668.15573291,21302133.631146584
205,5,164517424.75793234,32903484.951586466
206,5,1139287963.097859,227857592.61957178
207,1,1392464685.0974908,1392464685.0974908
208,1,503999.66465711326,503999.66465711326
209,2,80778632.07560247,40389316.037801236
210,3,93212227.2525653,31070742.417521764
211,3,45551559.60149638,15183853.200498795
212,2,28333506.975736372,14166753.487868186
213,3,89173994.91122083,29724664.970406946
214,1,27314755.098880537,27314755.098880537
215,2,75354512.99978933,37677256.49989466
216,3,195664535.90339005,65221511.96779668
217,2,5468337.196628024,2734168.598314012
218,4,64158599.881308265,16039649.970327066
219,2,42171589.16214532,21085794.58107266
220,4,39005510.96126606,9751377.740316516
221,5,142190467.04826045,28438093.40965209
222,2,42611639.5702955,21305819.78514775
223,3,13510496.965887668,4503498.988629223
224,2,26227291.454242967,13113645.727121484
225,4,45841737.07517465,11460434.268793663
226,3,168326243.27046198,56108747.75682066
227,2,17008601.27148523,8504300.635742616
228,3,7197487.979828581,2399162.6599428602
229,3,27820718.632848486,9273572.877616161
230,1,21762425.670790147,21762425.670790147
231,4,299156856.63042754,74789214.15760688
232,5,1030329520.339021,206065904.0678042
233,2,55688234.8012008,27844117.4006004
234,2,47193308.04608781,23596654.023043904
235,4,232115969.52907857,58028992.38226964
236,5,276296697.3034816,55259339.46069632
237,8,119903113.10260427,14987889.137825534
238,3,74202121.18330707,24734040.39443569
239,3,56938422.57795243,18979474.19265081
240,6,485696887.1074527,80949481.18457545
241,3,24704453.775899664,8234817.925299888
242,3,480402816.65108323,160134272.21702775
243,2,186300978.8001032,93150489.4000516
244,5,123389556.77300847,24677911.354601692
245,1,9684515.525933692,9684515.525933692
246,5,1287246919.4943318,257449383.89886636
247,3,65664576.57327937,21888192.191093124
248,3,23993660.52700476,7997886.84233492
249,1,1015441.2743073665,1015441.2743073665
250,5,126012166.22496215,25202433.244992428
251,1,13281497.298438013,13281497.298438013
252,1,48475760.60310017,48475760.60310017
253,5,170605881.84335127,34121176.368670255
254,3,19693965.756498232,6564655.2521660775
255,4,13927644.946035814,3481911.2365089534
256,4,197759202.6150198,49439800.65375495
257,2,16535359.809656577,8267679.904828289
258,2,56996904.122328706,28498452.061164353
259,1,341858.13505326555,341858.13505326555
260,1,1770650.9532918942,1770650.9532918942
261,3,17137336.439580657,5712445.479860219
262,2,2491910.70216354,1245955.35108177
