simulation,n_disasters,total_appropriation,mean_appropriation
4227,2,23600441.584112413,11800220.792056207
4228,3,48762815.64423688,16254271.881412292
4229,1,7671137.445984556,7671137.445984556
4230,5,67167166.62710837,13433433.325421672
4231,2,70511659.77893333,35255829.889466666
4232,6,109337039.91646905,18222839.986078177
4233,6,145092710.4515577,24182118.40859295
4234,1,21146280.698286667,21146280.698286667
4235,1,12895017.142580729,12895017.142580729
4236,1,4769380.637014892,4769380.637014892
4237,1,126939827.77894141,126939827.77894141
4238,2,555482944.9048693,277741472.45243466
4239,1,5668117.996514343,5668117.996514343
4240,2,4274980.71958195,2137490.359790975
4241,1,4685774.54788127,4685774.54788127
4242,1,137752400.29624197,137752400.29624197
4243,1,361124083.69917035,361124083.69917035
4244,5,2544302526.1185956,508860505.2237191
4245,1,10359568.799185716,10359568.799185716
4246,5,375742182.78752035,75148436.55750407
4247,6,119490724.75504747,19915120.792507913
4248,6,183883896.45993465,30647316.076655775
4249,2,79202467.43220171,39601233.71610086
4250,1,3035475.096226855,3035475.096226855
4251,1,1021603.1431568284,1021603.1431568284
4252,1,36128431.76537386,36128431.76537386
4253,1,6217288.425456592,6217288.425456592
4254,5,37803135.65602347,7560627.1312046945
4255,1,12672015.756099783,12672015.756099783
4256,6,325859436.29568046,54309906.04928008
4257,6,45986771.075674914,7664461.845945819
4258,3,153467462.77142873,51155820.92380958
4259,6,107979661.44332075,17996610.240553457
4260,1,3982030.774213277,3982030.774213277
4261,1,18552629.06600261,18552629.06600261
4262,6,823249153.5443397,137208192.25738993
4263,6,254680855.26228678,42446809.21038113
4264,1,2222102.172624409,2222102.172624409
4265,1,3652387.798247878,3652387.798247878
4266,1,1726723.2393727212,1726723.2393727212
4267,1,774709.6980357044,774709.6980357044
4268,3,68324909.89129934,22774969.963766444
4269,2,14238910.555906503,7119455.277953251
4270,6,258538141.6009814,43089690.266830236
4271,1,58373627.35081791,58373627.35081791
4272,1,2759118.2089015385,2759118.2089015385
4273,1,8285761.5093803955,8285761.5093803955
4274,2,10487241.24265436,5243620.62132718
4275,1,10937844.66861311,10937844.66861311
4276,1,57139209.859121054,57139209.859121054
4277,1,2818407.180281777,2818407.180281777
4278,6,523335248.84762275,87222541.47460379
4279,1,741228.4572244608,741228.4572244608
4280,5,436396961.90283316,87279392.38056663
4281,1,31923462.054645486,31923462.054645486
4282,1,56939405.52190718,56939405.52190718
4283,1,8033650.719694176,8033650.719694176
4284,5,54572262.1604417,10914452.43208834
4285,1,94280635.8062472,94280635.8062472
4286,1,14620392.66938994,14620392.66938994
4287,1,67804463.48625028,67804463.48625028
4288,5,351550528.12066984,70310105.62413397
4289,6,189598578.67404738,31599763.11234123
4290,6,68453426.07074024,11408904.345123373
4291,1,11205865.025990605,11205865.025990605
4292,1,353611.6797140108,353611.6797140108
4293,1,9438343.4139931,9438343.4139931
4294,1,12053609.210934786,12053609.210934786
4295,3,699376347.8577075,233125449.2859025
4296,1,70733597.71657789,70733597.71657789
4297,6,207363228.85481292,34560538.14246882
4298,5,100095244.52486014,20019048.904972028
4299,2,16950840.634000577,8475420.317000289
4300,5,36888533.728035286,7377706.745607058
4301,1,3857468.2646146202,3857468.2646146202
4302,1,30788306.673386626,30788306.673386626
4303,1,477981269.5374442,477981269.5374442
4304,3,123779906.93695065,41259968.97898355
4305,1,4819138.447648871,4819138.447648871
4306,1,7059373.364313247,7059373.364313247
4307,6,83574192.77960607,13929032.129934346
4308,1,30523741.69713578,30523741.69713578
4309,1,9909396.06526455,9909396.06526455
4310,1,484992.8387172239,484992.8387172239
4311,3,197308588.4814847,65769529.49382824
4312,2,11196112.643606862,5598056.321803431
4313,1,765484.792167538,765484.792167538
4314,1,8935675.485774092,8935675.485774092
4315,6,150604084.3943478,25100680.732391298
4316,6,26947588.85281967,4491264.808803278
4317,6,654421622.8666022,109070270.47776704
4318,1,8633120.940545771,8633120.940545771
4319,1,14533916.078806333,14533916.078806333
4320,1,3740800.099197774,3740800.099197774
4321,6,864934024.5777086,144155670.76295143
4322,1,20717117.386716448,20717117.386716448
4323,1,53462600.03570438,53462600.03570438
4324,1,3601138.0331405737,3601138.0331405737
4325,1,480153.2976728666,480153.2976728666
4326,6,355262596.54938406,59210432.75823068
4327,1,10335608.298766186,10335608.298766186
4328,3,25537140.243385445,8512380.081128482
4329,1,19827747.872493878,19827747.872493878
4330,1,1537390.5785988353,1537390.5785988353
4331,5,24060637.68765471,4812127.537530942
4332,1,1622858.599255295,1622858.599255295
4333,1,124838523.1862924,124838523.1862924
4334,1,297518.31950227066,297518.31950227066
4335,1,7161473.579707165,7161473.579707165
4336,2,8851192.365652805,4425596.182826403
4337,6,209569627.7911798,34928271.29852997
4338,5,58992992.47185384,11798598.494370768
4339,1,23927321.981506694,23927321.981506694
4340,2,4719843.543719694,2359921.771859847
4341,1,3882289.3647524063,3882289.3647524063
4342,1,57644892.83917872,57644892.83917872
4343,3,58679299.22229847,19559766.407432824
4344,1,85715684.80391712,85715684.80391712
4345,1,5321256.403586524,5321256.403586524
4346,6,119999093.1476381,19999848.857939683
4347,2,17054635.993156165,8527317.996578082
4348,1,1757335.832982697,1757335.832982697
4349,5,1335904400.5206735,267180880.1041347
4350,1,36177327.285305604,36177327.285305604
4351,5,74908782.39588067,14981756.479176134
4352,1,179737.0742482446,179737.0742482446
4353,6,220530453.19306433,36755075.53217739
4354,5,181440572.7201517,36288114.54403034
4355,1,77949170.20173316,77949170.20173316
4356,5,171796393.10103747,34359278.620207496
4357,6,222722316.36997163,37120386.06166194
4358,5,22549016.160002217,4509803.232000443
4359,6,352546039.67140883,58757673.27856814
4360,1,4567409.883174999,4567409.883174999
4361,1,141537225.75068396,141537225.75068396
4362,1,708651.9994740279,708651.9994740279
4363,1,3020004.235737547,3020004.235737547
4364,5,79978722.67694417,15995744.535388833
4365,1,1473701.0367724167,1473701.0367724167
4366,1,8592077.391196337,8592077.391196337
