simulation,n_disasters,total_appropriation,mean_appropriation
4666,3,53354988.03769633,17784996.012565445
4667,1,41859764.65941736,41859764.65941736
4668,2,32507881.065955848,16253940.532977924
4669,2,119702596.95341557,59851298.47670779
4670,6,67181323.4653443,11196887.24422405
4671,1,15919186.498848114,15919186.498848114
4672,5,89991781.80145906,17998356.360291813
4673,1,910978324.0545615,910978324.0545615
4674,1,10350072.329977827,10350072.329977827
4675,2,57690183.04455884,28845091.52227942
4676,1,53058556.56852661,53058556.56852661
4677,6,138347698.2332046,23057949.7055341
4678,1,1407343.884011894,1407343.884011894
4679,2,15414352.144978821,7707176.072489411
4680,1,7350802.261040612,7350802.261040612
4681,6,115131765.28244495,19188627.547074158
4682,1,136760149.0695236,136760149.0695236
4683,1,96292223.07647406,96292223.07647406
4684,1,11002846.420575079,11002846.420575079
4685,1,11921748.143134352,11921748.143134352
4686,1,521447078.76334786,521447078.76334786
4687,1,11792354.385724422,11792354.385724422
4688,5,387949039.2062328,77589807.84124656
4689,2,25756688.229244456,12878344.114622228
4690,5,34149082.966891944,6829816.593378389
4691,1,1812992.149499785,1812992.149499785
4692,1,10693188.174281526,10693188.174281526
4693,5,123528340.64181888,24705668.128363777
4694,1,14530332.21716347,14530332.21716347
4695,3,314687883.4763051,104895961.15876837
4696,5,79282389.62664117,15856477.925328234
4697,1,6006489.327808209,6006489.327808209
4698,2,10375800.986397622,5187900.493198811
4699,1,83114468.18613264,83114468.18613264
4700,5,313869531.1577347,62773906.23154694
4701,5,134822036.93738517,26964407.387477033
4702,1,3338728.3017072408,3338728.3017072408
4703,1,344429.09576125286,344429.09576125286
4704,6,320414474.5036521,53402412.41727535
4705,1,705012.937442169,705012.937442169
4706,1,9353614.235780807,9353614.235780807
4707,1,718745808.4039559,718745808.4039559
4708,1,17381698.044482652,17381698.044482652
4709,5,15011209.649859376,3002241.929971875
4710,1,79373010.34803908,79373010.34803908
4711,1,454596.94423604035,454596.94423604035
4712,5,56368601.49569597,11273720.299139194
4713,1,17328865.26111641,17328865.26111641
4714,1,1857578.5519859456,1857578.5519859456
4715,1,17660369.775877766,17660369.775877766
4716,5,70924509.18617767,14184901.837235535
4717,1,7155666.4552993635,7155666.4552993635
4718,3,59535820.56347191,19845273.521157306
4719,1,335660301.6695933,335660301.6695933
4720,1,41233297.37711236,41233297.37711236
4721,1,23700122.07987427,23700122.07987427
4722,1,752853.8045152363,752853.8045152363
4723,5,526153593.1580287,105230718.63160574
4724,6,456529468.6647332,76088244.77745552
4725,3,36059022.33787964,12019674.112626547
4726,1,21171668.413106076,21171668.413106076
4727,5,203484705.13044673,40696941.02608935
4728,6,252218841.0697614,42036473.5116269
4729,3,6835588.551759766,2278529.5172532555
4730,2,12272655.710403698,6136327.855201849
4731,6,176506835.62126806,29417805.93687801
4732,5,544558554.0773699,108911710.81547399
4733,1,549330.732343686,549330.732343686
4734,3,114830730.48137978,38276910.16045993
4735,3,9133157.745961115,3044385.9153203717
4736,5,439628304.9596466,87925660.99192932
4737,1,253560775.64129212,253560775.64129212
4738,1,31338313.94332152,31338313.94332152
4739,1,2445457.3093832657,2445457.3093832657
4740,1,136045430.98423767,136045430.98423767
4741,1,81284197.47600576,81284197.47600576
4742,1,11827454.483415928,11827454.483415928
4743,2,30376414.401405,15188207.2007025
4744,2,30867120.67809758,15433560.33904879
4745,5,89106449.1440852,17821289.82881704
4746,1,9916319.473475445,9916319.473475445
4747,5,99332241.78931475,19866448.35786295
4748,1,67659242.07366306,67659242.07366306
4749,1,4428797.979414112,4428797.979414112
4750,5,93086877.78252411,18617375.556504823
4751,1,118144614.22614864,118144614.22614864
4752,1,7048799.524355075,7048799.524355075
4753,2,7186159.364942405,3593079.6824712027
4754,5,415528628.67144424,83105725.73428884
4755,1,51048108.0950444,51048108.0950444
4756,5,434452252.0768127,86890450.41536254
4757,1,23648339.593618527,23648339.593618527
4758,1,13224940.094702614,13224940.094702614
4759,1,540612.7290709419,540612.7290709419
4760,6,361305709.9752666,60217618.32921109
4761,5,131690471.0056777,26338094.20113554
4762,3,515126872.8793271,171708957.62644237
4763,1,3519392.358459215,3519392.358459215
4764,5,71598720.02717783,14319744.005435565
4765,5,206298584.05790362,41259716.811580725
