simulation,n_disasters,total_appropriation,mean_appropriation
71,3,190499624.49411467,63499874.83137155
72,3,53426301.02928704,17808767.009762347
73,3,63238114.199661806,21079371.399887268
74,3,62323552.64750854,20774517.549169514
75,2,183323512.11149278,91661756.05574639
76,2,79512619.90858307,39756309.95429154
77,3,172170939.3893597,57390313.12978657
78,2,2444151.6405305974,1222075.8202652987
79,2,76206909.5164013,38103454.75820065
80,6,225160347.35281685,37526724.558802806
81,6,239240479.2343347,39873413.20572245
82,3,15822175.940509118,5274058.646836373
83,3,165322723.07865694,55107574.35955232
84,3,22135637.045943897,7378545.681981299
85,2,71982937.1875744,35991468.5937872
86,2,2531257054.646782,1265628527.323391
87,4,28956079.572194885,7239019.893048721
88,4,110825365.20463583,27706341.301158957
89,3,23697451.680174503,7899150.560058168
90,1,2549835.438298836,2549835.438298836
91,2,16434007.646325603,8217003.823162802
92,4,47293270.64432245,11823317.661080612
93,3,58892192.95264971,19630730.98421657
94,4,62610947.93352313,15652736.983380783
95,3,146566019.51503557,48855339.83834519
96,3,282494277.5770004,94164759.19233346
97,3,49992813.574226394,16664271.191408798
98,2,59534450.65705742,29767225.32852871
99,3,77445720.92543715,25815240.308479052
100,5,441827377.0089279,88365475.40178558
101,2,82328677.001504,41164338.500752
102,6,62080911.52810199,10346818.588016998
103,6,121882711.2791201,20313785.213186685
104,7,2678837897.9134483,382691128.27334976
105,3,33307275.55015128,11102425.183383761
106,4,143120413.61631936,35780103.40407984
107,3,152353168.05324173,50784389.351080574
108,2,91384730.4876145,45692365.24380725
109,4,91346232.29879788,22836558.07469947
110,2,23639446.231799483,11819723.115899742
111,4,32341958.94717081,8085489.736792702
112,1,26117449.646086007,26117449.646086007
113,5,185365474.31311816,37073094.86262363
114,5,793965712.8438113,158793142.56876224
115,5,89073034.79087731,17814606.95817546
116,5,187444473.2246533,37488894.64493066
117,5,71535264.58656979,14307052.917313958
118,3,195869074.55337095,65289691.51779032
119,3,101014803.7365204,33671601.2455068
120,7,36972501.33420535,5281785.904886479
121,3,76128623.75002974,25376207.91667658
122,4,67585250.1741482,16896312.54353705
123,4,519668580.49379396,129917145.12344849
124,5,225086049.39006454,45017209.87801291
125,3,88574532.97141954,29524844.323806513
126,1,8487258.903960414,8487258.903960414
127,3,25493740.314734213,8497913.438244738
128,2,33560886.097583815,16780443.048791908
129,3,698019841.5447329,232673280.51491097
130,4,149605787.75845057,37401446.93961264
131,5,71673180.43692985,14334636.087385971
132,4,153188177.05278808,38297044.26319702
133,3,53564420.8440288,17854806.9480096
134,2,278976098.9117615,139488049.45588076
135,4,172119665.54332182,43029916.385830455
136,3,67898203.80038096,22632734.600126985
137,6,71315794.07015933,11885965.678359888
138,4,19459987.0233014,4864996.75582535
139,3,132546330.59382309,44182110.19794103
140,2,19839334.77670283,9919667.388351414
141,2,54908863.188227646,27454431.594113823
142,4,146858387.9623406,36714596.99058515
143,2,453930996.74119717,226965498.37059858
144,4,17550272.51281316,4387568.12820329
145,3,66682269.42425361,22227423.141417872
146,2,179203840.73616275,89601920.36808138
147,3,24031775.484742496,8010591.828247499
148,4,334317411.5869386,83579352.89673465
149,6,42268256.07684398,7044709.346140663
150,7,131013539.0580189,18716219.86543127
151,3,322720647.0419129,107573549.01397097
152,2,55751933.02873165,27875966.514365826
153,6,554874414.8286906,92479069.13811511
154,4,84578968.51897207,21144742.129743017
155,4,45492477.69271083,11373119.423177708
156,4,258560437.46246907,64640109.36561727
157,2,1012290525.9184244,506145262.9592122
