simulation,n_disasters,total_appropriation,mean_appropriation
204,1,31065999.136621576,31065999.136621576
205,1,41366960.267163664,41366960.267163664
206,1,2203632.673349655,2203632.673349655
207,1,7354893.994405947,7354893.994405947
208,1,2750058.03701278,2750058.03701278
209,1,96526025.74762338,96526025.74762338
210,5,101369914.11598495,20273982.82319699
211,5,118868787.39189678,23773757.478379358
212,5,106874149.66386563,21374829.932773124
213,2,222843986.129732,111421993.064866
214,1,8443186.75309799,8443186.75309799
215,2,2507169537.0128427,1253584768.5064213
216,2,25319316.558420345,12659658.279210173
217,2,111445929.3756617,55722964.68783085
218,5,160899401.98701423,32179880.397402845
219,6,188853429.70716533,31475571.617860887
220,1,55243695.94737788,55243695.94737788
221,1,1802396.2915478232,1802396.2915478232
222,1,52454017.019214705,52454017.019214705
223,1,8116411.102103939,8116411.102103939
224,1,796757.503005586,796757.503005586
225,1,1744730.9357149638,1744730.9357149638
226,5,670164134.7136935,134032826.9427387
227,1,7612828.2900964245,7612828.2900964245
228,5,62950366.390079126,12590073.278015826
229,5,183722444.80629483,36744488.96125896
230,1,170419454.12445894,170419454.12445894
231,1,4307890.508176667,4307890.508176667
232,6,88257270.13595459,14709545.022659099
233,1,57834611.61285518,57834611.61285518
234,1,33504556.578886878,33504556.578886878
235,1,26836416.44288453,26836416.44288453
236,1,4242015.7142745415,4242015.7142745415
237,1,1376454.7303464094,1376454.7303464094
238,6,280700990.8735421,46783498.47892368
239,6,66142440.25491056,11023740.042485094
240,1,2594984.18175608,2594984.18175608
241,1,4297501.376267405,4297501.376267405
242,1,30404904.066201344,30404904.066201344
243,1,5415877.168281692,5415877.168281692
244,1,88799555.8399522,88799555.8399522
245,1,2286028.3772155633,2286028.3772155633
246,1,4792705.673994896,4792705.673994896
247,6,149375567.24832082,24895927.874720138
248,3,86782859.55706015,28927619.852353383
249,3,11578796.285810865,3859598.761936955
250,2,82819047.91573241,41409523.95786621
251,1,3612801.28701759,3612801.28701759
252,1,36847984.85220206,36847984.85220206
253,2,172951143.94272652,86475571.97136326
254,5,204568362.72201863,40913672.544403724
255,1,61122693.02839202,61122693.02839202
256,1,71826118.98861799,71826118.98861799
257,1,53829263.697140016,53829263.697140016
258,2,53185556.848044515,26592778.424022257
259,1,1197437.9818805938,1197437.9818805938
260,2,23787423.16605595,11893711.583027976
261,3,16627297.343790429,5542432.447930143
262,5,86332635.3193326,17266527.06386652
263,1,27154168.910631973,27154168.910631973
264,5,71911047.44056654,14382209.488113308
265,6,1514327227.5346923,252387871.25578204
266,1,3100638.8334358684,3100638.8334358684
267,5,41052003.675245844,8210400.735049169
268,6,164508665.4900179,27418110.915002983
269,1,6600804.3275867915,6600804.3275867915
270,6,52014952.8115068,8669158.8019178
271,2,40593800.10537139,20296900.052685697
272,6,903169789.6279835,150528298.27133057
273,6,90207082.82147099,15034513.803578498
274,6,124906760.29754505,20817793.382924173
275,1,4861929.852253765,4861929.852253765
276,2,64174521.473754376,32087260.736877188
277,6,86270149.78803712,14378358.298006186
278,2,232184919.5224741,116092459.76123706
279,2,30945281.354002737,15472640.677001368
280,1,21801113.095155578,21801113.095155578
281,1,23121216.892888796,23121216.892888796
282,1,31004329.177275464,31004329.177275464
283,2,34346705.05823054,17173352.52911527
284,1,738711.0007352405,738711.0007352405
285,3,16351718.517583104,5450572.839194368
286,3,119980736.79362418,39993578.93120806
287,2,97745933.3725096,48872966.6862548
288,6,159715579.21364108,26619263.202273514
289,1,709061.7362564022,709061.7362564022
290,1,8693404.357200893,8693404.357200893
291,1,1575717.4221598676,1575717.4221598676
292,6,565198448.9815657,94199741.49692762
293,1,8427714.053873064,8427714.053873064
294,1,223459.3513792569,223459.3513792569
295,6,177293558.05832776,29548926.343054626
296,1,17544203.31095548,17544203.31095548
297,6,134283607.3530188,22380601.22550313
298,5,138170635.27860668,27634127.055721335
299,3,144791199.41343743,48263733.13781247
300,1,17092978.62518183,17092978.62518183
301,6,149545152.9194895,24924192.15324825
302,1,29858903.068576172,29858903.068576172
303,6,45743018.259908825,7623836.376651471
304,1,2681551.5718057817,2681551.5718057817
305,1,3644195.823581095,3644195.823581095
306,3,31232203.589846075,10410734.52994869
307,1,4142719.4375352757,4142719.4375352757
308,3,244477782.20333707,81492594.06777902
309,2,57929778.43909508,28964889.21954754
310,1,68538414.1713373,68538414.1713373
311,1,2955030.648006736,2955030.648006736
312,1,2331829.1359598297,2331829.1359598297
313,5,80258286.7855386,16051657.35710772
314,1,16593432.204862168,16593432.204862168
315,6,29153098.64242569,4858849.773737615
316,1,29899427.278871123,29899427.278871123
317,1,3190964.1634506653,3190964.1634506653
318,1,517271.00178877544,517271.00178877544
319,1,13651386.677617949,13651386.677617949
320,5,31369481.271904152,6273896.254380831
321,5,317207535.11012065,63441507.02202413
322,3,235443200.66184968,78481066.88728322
323,1,13544516.295955641,13544516.295955641
324,1,13102537.64631752,13102537.64631752
325,6,77568369.28204684,12928061.547007807
326,6,55042551.20593364,9173758.534322273
327,2,35149491.27704423,17574745.638522115
328,1,1539366.0615388725,1539366.0615388725
329,1,17050862.28267088,17050862.28267088
330,1,8215792.023755003,8215792.023755003
331,1,1220223.8051050224,1220223.8051050224
332,1,27012474.878539793,27012474.878539793
333,1,1733722.6737049676,1733722.6737049676
334,1,1239382.6007876403,1239382.6007876403
335,1,19214144.36530605,19214144.36530605
336,5,117522244.93372852,23504448.986745704
337,3,19349273.04217299,6449757.68072433
338,2,30190105.30835204,15095052.65417602
339,1,5860339.390938642,5860339.390938642
340,5,231880004.62146187,46376000.92429237
341,1,139495181.316556,139495181.316556
342,5,299079443.7429666,59815888.748593315
343,5,134706379.24047953,26941275.848095905
344,1,54335408.0502427,54335408.0502427
345,6,15731077.434802178,2621846.2391336965
346,1,5523225.394722494,5523225.394722494
347,1,74615337.54381682,74615337.54381682
348,1,4238171.287511886,4238171.287511886
349,6,204654971.73098743,34109161.955164574
350,1,11064383.580358423,11064383.580358423
351,6,39187912.53585323,6531318.755975538
352,1,21045297.51139643,21045297.51139643
353,6,148700045.2010992,24783340.866849866
354,1,6131030.70725884,6131030.70725884
355,1,133191503.23202445,133191503.23202445
356,2,19646486.236409273,9823243.118204636
357,3,104942046.99077691,34980682.33025897
358,1,13734241.632302964,13734241.632302964
359,5,34873206.379827656,6974641.275965531
360,1,4849593.843099638,4849593.843099638
361,1,2436482.9125885204,2436482.9125885204
362,5,147744691.90758055,29548938.38151611
363,2,17304726.832268402,8652363.416134201
364,6,239843831.54254368,39973971.92375728
365,5,51069682.56951766,10213936.513903532
366,6,160936838.59532204,26822806.432553675
367,1,41526705.9013854,41526705.9013854
368,6,326225039.96639425,54370839.99439904
369,1,2877207.500595458,2877207.500595458
370,6,423793295.48274904,70632215.91379151
371,5,489187443.5405848,97837488.70811696
372,6,284050767.20213795,47341794.533689655
373,1,23612637.17190792,23612637.17190792
374,2,21159438.313076224,10579719.156538112
375,1,11662360.56311957,11662360.56311957
376,1,7158514.667869639,7158514.667869639
377,3,76887836.98199004,25629278.99399668
378,5,62614543.54498726,12522908.708997453
379,1,999096.414176637,999096.414176637
380,1,2447553968.2052298,2447553968.2052298
381,1,3093376.601336125,3093376.601336125
382,2,24549323.940655567,12274661.970327783
383,1,127203652.7332236,127203652.7332236
384,5,144538374.5486675,28907674.909733497
385,2,49772715.31276145,24886357.656380724
386,1,14348556.95339575,14348556.95339575
387,1,6717226.684452668,6717226.684452668
388,3,40289561.44015259,13429853.813384198
389,2,19757303.695726745,9878651.847863372
390,1,78445066.76946436,78445066.76946436
391,1,75654157.83683054,75654157.83683054
392,1,534101.8695593736,534101.8695593736
393,1,3804459.030221758,3804459.030221758
